,artist_name,track_name,track_id,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
716,Gabriel & Dresden,Jupiter,1apiEr4L9flNa3kK1S7NDf,19,0.0947,https://api.spotify.com/v1/audio-analysis/1apiEr4L9flNa3kK1S7NDf,0.522,375960,0.717,0.903,6,0.163,-11.01,1,0.0461,135.011,4,https://api.spotify.com/v1/tracks/1apiEr4L9flNa3kK1S7NDf,audio_features,spotify:track:1apiEr4L9flNa3kK1S7NDf,0.139
717,Gabriel & Dresden,Only Road - Edit,1WouecMZUNZl8fNrT4KcXw,15,0.00497,https://api.spotify.com/v1/audio-analysis/1WouecMZUNZl8fNrT4KcXw,0.51,244001,0.911,0.715,0,0.0737,-8.599,1,0.0391,119.911,4,https://api.spotify.com/v1/tracks/1WouecMZUNZl8fNrT4KcXw,audio_features,spotify:track:1WouecMZUNZl8fNrT4KcXw,0.106
718,Gabriel & Dresden,Free Your Mind - Edit,5HG3PMjya4FQxMil2QuXAt,13,0.113,https://api.spotify.com/v1/audio-analysis/5HG3PMjya4FQxMil2QuXAt,0.577,250001,0.677,0.32,7,0.0895,-9.345,1,0.039,119.993,4,https://api.spotify.com/v1/tracks/5HG3PMjya4FQxMil2QuXAt,audio_features,spotify:track:5HG3PMjya4FQxMil2QuXAt,0.164
719,Gabriel & Dresden,White Walls - Edit,3PztQLop5U1Iiuo6bOk88m,17,0.0215,https://api.spotify.com/v1/audio-analysis/3PztQLop5U1Iiuo6bOk88m,0.55,220328,0.714,0.385,5,0.0852,-8.723,1,0.0287,122.011,4,https://api.spotify.com/v1/tracks/3PztQLop5U1Iiuo6bOk88m,audio_features,spotify:track:3PztQLop5U1Iiuo6bOk88m,0.335
720,Gabriel & Dresden,This Love Kills Me - Edit,7oLKJ0HQOxcWgJzszDC87s,17,0.00764,https://api.spotify.com/v1/audio-analysis/7oLKJ0HQOxcWgJzszDC87s,0.543,224762,0.84,0.0127,0,0.149,-4.448,1,0.0421,126.029,4,https://api.spotify.com/v1/tracks/7oLKJ0HQOxcWgJzszDC87s,audio_features,spotify:track:7oLKJ0HQOxcWgJzszDC87s,0.166
721,Gabriel & Dresden,Underwater - Edit,5Axll3XFQAarxXL7GNKE23,13,0.0683,https://api.spotify.com/v1/audio-analysis/5Axll3XFQAarxXL7GNKE23,0.617,281250,0.621,0.818,7,0.119,-10.513,0,0.0503,127.984,4,https://api.spotify.com/v1/tracks/5Axll3XFQAarxXL7GNKE23,audio_features,spotify:track:5Axll3XFQAarxXL7GNKE23,0.25
722,Gabriel & Dresden,Hospital Piano - Edit,5BI91Gyj3LfcqB0KZtAEuW,11,0.993,https://api.spotify.com/v1/audio-analysis/5BI91Gyj3LfcqB0KZtAEuW,0.35,163556,0.0513,0.689,9,0.122,-20.031,0,0.0422,109.156,4,https://api.spotify.com/v1/tracks/5BI91Gyj3LfcqB0KZtAEuW,audio_features,spotify:track:5BI91Gyj3LfcqB0KZtAEuW,0.0666
723,Gabriel & Dresden,You - Edit,3TfE2gutIYUjGBkPnCv9J4,14,0.0052,https://api.spotify.com/v1/audio-analysis/3TfE2gutIYUjGBkPnCv9J4,0.52,256875,0.762,0.842,9,0.225,-7.714,0,0.0318,127.995,4,https://api.spotify.com/v1/tracks/3TfE2gutIYUjGBkPnCv9J4,audio_features,spotify:track:3TfE2gutIYUjGBkPnCv9J4,0.0543
724,Gabriel & Dresden,Over Oceans - Edit,6Xi7EnGwQkCbXuDCUawfYx,13,0.0397,https://api.spotify.com/v1/audio-analysis/6Xi7EnGwQkCbXuDCUawfYx,0.605,281810,0.557,0.89,7,0.0899,-9.017,1,0.0279,132.049,4,https://api.spotify.com/v1/tracks/6Xi7EnGwQkCbXuDCUawfYx,audio_features,spotify:track:6Xi7EnGwQkCbXuDCUawfYx,0.1
725,Gabriel & Dresden,Jupiter - Edit,5IgJ3Tvd0eoPReNRWRleys,20,0.087,https://api.spotify.com/v1/audio-analysis/5IgJ3Tvd0eoPReNRWRleys,0.523,355556,0.713,0.886,6,0.106,-10.893,1,0.0506,135.026,4,https://api.spotify.com/v1/tracks/5IgJ3Tvd0eoPReNRWRleys,audio_features,spotify:track:5IgJ3Tvd0eoPReNRWRleys,0.121
726,Lane 8,No Captain - Dirty South Remix,1jX8HqFA7M5hzOxvuFoJ3p,47,0.14,https://api.spotify.com/v1/audio-analysis/1jX8HqFA7M5hzOxvuFoJ3p,0.626,347213,0.755,0.386,6,0.0938,-10.491,0,0.0337,122.008,4,https://api.spotify.com/v1/tracks/1jX8HqFA7M5hzOxvuFoJ3p,audio_features,spotify:track:1jX8HqFA7M5hzOxvuFoJ3p,0.372
727,Lane 8,Stir Me Up - Khåen Remix,0O640S8OeZAANtYZXctUcW,32,0.013,https://api.spotify.com/v1/audio-analysis/0O640S8OeZAANtYZXctUcW,0.664,319695,0.729,0.241,9,0.137,-6.977,0,0.0476,124.984,4,https://api.spotify.com/v1/tracks/0O640S8OeZAANtYZXctUcW,audio_features,spotify:track:0O640S8OeZAANtYZXctUcW,0.124
728,Lane 8,Stir Me Up - Ryan Murgatroyd Remix,5iovRFDeqBrxcLhUkzjdsf,36,0.173,https://api.spotify.com/v1/audio-analysis/5iovRFDeqBrxcLhUkzjdsf,0.805,255738,0.447,0.245,7,0.148,-9.815,1,0.0427,121.985,4,https://api.spotify.com/v1/tracks/5iovRFDeqBrxcLhUkzjdsf,audio_features,spotify:track:5iovRFDeqBrxcLhUkzjdsf,0.385
729,Lane 8,Daya - Fairchild Remix,1jmkivW3Il8HUIPG8FWwxv,29,0.0107,https://api.spotify.com/v1/audio-analysis/1jmkivW3Il8HUIPG8FWwxv,0.718,424750,0.616,0.883,1,0.0663,-9.392,1,0.04,120.002,4,https://api.spotify.com/v1/tracks/1jmkivW3Il8HUIPG8FWwxv,audio_features,spotify:track:1jmkivW3Il8HUIPG8FWwxv,0.251
730,Lane 8,Hold On - Ben Böhmer Remix,3RZQtcdpKv6cunb8nxBI6R,35,0.153,https://api.spotify.com/v1/audio-analysis/3RZQtcdpKv6cunb8nxBI6R,0.53,307870,0.727,0.0464,1,0.0818,-9.957,0,0.049,123.969,4,https://api.spotify.com/v1/tracks/3RZQtcdpKv6cunb8nxBI6R,audio_features,spotify:track:3RZQtcdpKv6cunb8nxBI6R,0.039
731,Lane 8,No Captain - Anderholm Remix,2bi9CGKi3lArl4LTLT7eZB,29,0.107,https://api.spotify.com/v1/audio-analysis/2bi9CGKi3lArl4LTLT7eZB,0.772,377010,0.478,0.00149,6,0.147,-9.545,0,0.0735,119.988,4,https://api.spotify.com/v1/tracks/2bi9CGKi3lArl4LTLT7eZB,audio_features,spotify:track:2bi9CGKi3lArl4LTLT7eZB,0.195
732,Lane 8,No Captain - ATTLAS Remix,7BblTJ1ECJ2xriTNFNmCdB,26,0.545,https://api.spotify.com/v1/audio-analysis/7BblTJ1ECJ2xriTNFNmCdB,0.577,217228,0.51,0.0333,9,0.0838,-6.025,1,0.0418,104.961,4,https://api.spotify.com/v1/tracks/7BblTJ1ECJ2xriTNFNmCdB,audio_features,spotify:track:7BblTJ1ECJ2xriTNFNmCdB,0.176
733,Lane 8,Clarify - Tinlicker Remix,65fkqb5nh4Mk8P8U5vALIe,30,0.0963,https://api.spotify.com/v1/audio-analysis/65fkqb5nh4Mk8P8U5vALIe,0.691,499476,0.777,0.669,6,0.0659,-8.735,1,0.0503,123.992,4,https://api.spotify.com/v1/tracks/65fkqb5nh4Mk8P8U5vALIe,audio_features,spotify:track:65fkqb5nh4Mk8P8U5vALIe,0.137
734,Lane 8,Stir Me Up - Avoure Remix,62YjK8q8YwL5EzXIzkm3xa,30,0.0126,https://api.spotify.com/v1/audio-analysis/62YjK8q8YwL5EzXIzkm3xa,0.666,386565,0.49,0.876,0,0.114,-13.362,1,0.0399,112.011,4,https://api.spotify.com/v1/tracks/62YjK8q8YwL5EzXIzkm3xa,audio_features,spotify:track:62YjK8q8YwL5EzXIzkm3xa,0.0763
735,Lane 8,Stir Me Up - Jody Wisternoff Remix,3De9E03w4652NEenqVIhj8,25,0.0014,https://api.spotify.com/v1/audio-analysis/3De9E03w4652NEenqVIhj8,0.741,481000,0.789,0.902,2,0.0676,-10.326,0,0.0443,119.99,4,https://api.spotify.com/v1/tracks/3De9E03w4652NEenqVIhj8,audio_features,spotify:track:3De9E03w4652NEenqVIhj8,0.229
736,Sasha,Channel Deq - Live at the Barbican,7zJ7k39hW0R3GW6BkxO83v,19,0.962,https://api.spotify.com/v1/audio-analysis/7zJ7k39hW0R3GW6BkxO83v,0.18,164461,0.0829,0.949,0,0.16,-23.103,0,0.039,98.94,3,https://api.spotify.com/v1/tracks/7zJ7k39hW0R3GW6BkxO83v,audio_features,spotify:track:7zJ7k39hW0R3GW6BkxO83v,0.0884
737,Sasha,Linepulse - Baracus - View2 - Live at the Barbican,78WslQWHWzHQ5dmAa8xNiU,20,0.269,https://api.spotify.com/v1/audio-analysis/78WslQWHWzHQ5dmAa8xNiU,0.271,750101,0.386,0.884,0,0.686,-14.618,1,0.0301,94.334,4,https://api.spotify.com/v1/tracks/78WslQWHWzHQ5dmAa8xNiU,audio_features,spotify:track:78WslQWHWzHQ5dmAa8xNiU,0.115
738,Sasha,Detour - Pontiac - Live at the Barbican,2ESoeI2zoEabzrizIISTxu,19,0.265,https://api.spotify.com/v1/audio-analysis/2ESoeI2zoEabzrizIISTxu,0.293,743628,0.569,0.885,7,0.556,-11.945,0,0.0324,116.347,3,https://api.spotify.com/v1/tracks/2ESoeI2zoEabzrizIISTxu,audio_features,spotify:track:2ESoeI2zoEabzrizIISTxu,0.124
739,Sasha,Time After Time - Modcon - Interstellar - Live at the Barbican,5ERuiuzkNRtXGFfgj2VOh4,18,0.14,https://api.spotify.com/v1/audio-analysis/5ERuiuzkNRtXGFfgj2VOh4,0.692,612721,0.671,0.864,10,0.776,-11.363,0,0.0379,120.011,4,https://api.spotify.com/v1/tracks/5ERuiuzkNRtXGFfgj2VOh4,audio_features,spotify:track:5ERuiuzkNRtXGFfgj2VOh4,0.602
740,Sasha,Warewolf - Bring on the Night-Time - Live at the Barbican,3Y5lkm6tBySphfrLGNNLcX,21,0.0461,https://api.spotify.com/v1/audio-analysis/3Y5lkm6tBySphfrLGNNLcX,0.376,774805,0.629,0.236,7,0.488,-12.069,1,0.0424,118.955,4,https://api.spotify.com/v1/tracks/3Y5lkm6tBySphfrLGNNLcX,audio_features,spotify:track:3Y5lkm6tBySphfrLGNNLcX,0.061
741,Sasha,Vapourtrails - Rooms - Live at the Barbican,0HKhT6219QFxQU8bupR0F5,19,0.745,https://api.spotify.com/v1/audio-analysis/0HKhT6219QFxQU8bupR0F5,0.344,522398,0.56,0.771,4,0.945,-13.187,0,0.0413,120.177,3,https://api.spotify.com/v1/tracks/0HKhT6219QFxQU8bupR0F5,audio_features,spotify:track:0HKhT6219QFxQU8bupR0F5,0.112
742,Sasha,Gothika - Sparky - Live at the Barbican,5pyM9beMWefIB0XRH3e3qd,18,0.0376,https://api.spotify.com/v1/audio-analysis/5pyM9beMWefIB0XRH3e3qd,0.235,312893,0.226,0.553,7,0.849,-15.134,0,0.0346,125.003,4,https://api.spotify.com/v1/tracks/5pyM9beMWefIB0XRH3e3qd,audio_features,spotify:track:5pyM9beMWefIB0XRH3e3qd,0.0359
743,Sasha,Celestial - Battleships - Belfunk - Live at the Barbican,4IUygZlIloeWGlgLCOLzqG,29,0.154,https://api.spotify.com/v1/audio-analysis/4IUygZlIloeWGlgLCOLzqG,0.417,1015034,0.513,0.813,9,0.911,-13.383,0,0.0328,123.97,4,https://api.spotify.com/v1/tracks/4IUygZlIloeWGlgLCOLzqG,audio_features,spotify:track:4IUygZlIloeWGlgLCOLzqG,0.0396
744,Sasha,Every Love That Ever Was - Live at the Barbican,1IqRATDiaxnlkNnMt4jHdX,19,0.161,https://api.spotify.com/v1/audio-analysis/1IqRATDiaxnlkNnMt4jHdX,0.495,394631,0.542,0.119,8,0.675,-11.615,1,0.0302,127.966,4,https://api.spotify.com/v1/tracks/1IqRATDiaxnlkNnMt4jHdX,audio_features,spotify:track:1IqRATDiaxnlkNnMt4jHdX,0.0394
745,Sasha,Burma - Smile - Live at the Barbican,3V9xX4Crowpfv8VEgvTuHy,20,0.000991,https://api.spotify.com/v1/audio-analysis/3V9xX4Crowpfv8VEgvTuHy,0.405,742617,0.796,0.508,4,0.848,-9.356,0,0.0365,127.177,4,https://api.spotify.com/v1/tracks/3V9xX4Crowpfv8VEgvTuHy,audio_features,spotify:track:3V9xX4Crowpfv8VEgvTuHy,0.0867
746,Sasha,Wavy Gravy - Live at the Barbican,6udjiHOrldLDXvHVgLsuaI,19,0.00588,https://api.spotify.com/v1/audio-analysis/6udjiHOrldLDXvHVgLsuaI,0.601,537515,0.608,0.843,0,0.965,-10.79,0,0.0286,140.002,4,https://api.spotify.com/v1/tracks/6udjiHOrldLDXvHVgLsuaI,audio_features,spotify:track:6udjiHOrldLDXvHVgLsuaI,0.0988
747,Sasha,Xpander - Live at the Barbican,70L0yX5JMm6gZOocNaGYNj,28,0.00142,https://api.spotify.com/v1/audio-analysis/70L0yX5JMm6gZOocNaGYNj,0.576,656729,0.686,0.818,7,0.704,-10.673,0,0.0316,112.008,4,https://api.spotify.com/v1/tracks/70L0yX5JMm6gZOocNaGYNj,audio_features,spotify:track:70L0yX5JMm6gZOocNaGYNj,0.106
748,Sarcastic Sounds,It's OK to Cry,5utrtANUaATItHm4Twgp6Z,63,0.371,https://api.spotify.com/v1/audio-analysis/5utrtANUaATItHm4Twgp6Z,0.772,102056,0.502,0.922,10,0.0917,-13.254,0,0.0291,152.031,4,https://api.spotify.com/v1/tracks/5utrtANUaATItHm4Twgp6Z,audio_features,spotify:track:5utrtANUaATItHm4Twgp6Z,0.145
749,VOLO,Mystic,5qjre1upmrlv6m2K1Xcr1E,34,0.0479,https://api.spotify.com/v1/audio-analysis/5qjre1upmrlv6m2K1Xcr1E,0.474,313469,0.608,0.778,5,0.131,-9.514,0,0.0399,196.088,4,https://api.spotify.com/v1/tracks/5qjre1upmrlv6m2K1Xcr1E,audio_features,spotify:track:5qjre1upmrlv6m2K1Xcr1E,0.0779
750,A-Trak,DJs Gotta Dance More,30HLXV5dIVOlrp2ncsUyjn,2,0.141,https://api.spotify.com/v1/audio-analysis/30HLXV5dIVOlrp2ncsUyjn,0.743,252345,0.889,0.0195,11,0.125,-4.179,0,0.102,120.008,4,https://api.spotify.com/v1/tracks/30HLXV5dIVOlrp2ncsUyjn,audio_features,spotify:track:30HLXV5dIVOlrp2ncsUyjn,0.335
751,Getter,All Is Lost,5cxKaqhE6tXXrXe5R6lF38,45,0.00762,https://api.spotify.com/v1/audio-analysis/5cxKaqhE6tXXrXe5R6lF38,0.413,306000,0.769,0.00485,7,0.126,-4.405,0,0.0469,80.039,4,https://api.spotify.com/v1/tracks/5cxKaqhE6tXXrXe5R6lF38,audio_features,spotify:track:5cxKaqhE6tXXrXe5R6lF38,0.112
752,CHVRCHES,Leave A Trace - Four Tet Remix,3kqmhcUOo21iFAO7SwByKn,2,0.0587,https://api.spotify.com/v1/audio-analysis/3kqmhcUOo21iFAO7SwByKn,0.731,409646,0.683,0.604,6,0.104,-10.366,0,0.0405,120.025,4,https://api.spotify.com/v1/tracks/3kqmhcUOo21iFAO7SwByKn,audio_features,spotify:track:3kqmhcUOo21iFAO7SwByKn,0.138
753,HolyU,K+N=X,0MAP8rpKlsfal5k6Wm9aKv,14,0.247,https://api.spotify.com/v1/audio-analysis/0MAP8rpKlsfal5k6Wm9aKv,0.814,310096,0.555,0.868,2,0.0752,-10.103,1,0.0661,120.05,4,https://api.spotify.com/v1/tracks/0MAP8rpKlsfal5k6Wm9aKv,audio_features,spotify:track:0MAP8rpKlsfal5k6Wm9aKv,0.463
754,HolyU,Magnolia Road,0TEW3b0uQc7pZsifUPRFiC,31,0.268,https://api.spotify.com/v1/audio-analysis/0TEW3b0uQc7pZsifUPRFiC,0.497,304461,0.57,0.914,9,0.101,-9.718,0,0.0642,120.007,4,https://api.spotify.com/v1/tracks/0TEW3b0uQc7pZsifUPRFiC,audio_features,spotify:track:0TEW3b0uQc7pZsifUPRFiC,0.0563
755,Maribou State,Nervous Tics (feat. Holly Walker) - Maceo Plex Remix [Edit],5lJbSCljZbosyqoAOJWVlY,19,0.000652,https://api.spotify.com/v1/audio-analysis/5lJbSCljZbosyqoAOJWVlY,0.67,245841,0.889,0.739,10,0.0688,-6.808,0,0.0385,128.002,4,https://api.spotify.com/v1/tracks/5lJbSCljZbosyqoAOJWVlY,audio_features,spotify:track:5lJbSCljZbosyqoAOJWVlY,0.631
