,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
385,Cole Swindell,Break Up in the End,5Z19ylxppfnfdP4JH0u8oj,69,0.481,0.507,199693,0.372,0.0,1,0.271,-8.433,1,0.0303,86.422,4,0.257
386,Shawn Mendes,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,78,0.0882,0.694,201253,0.852,0.0,7,0.334,-5.34,0,0.257,107.178,4,0.377
387,YoungBoy Never Broke Again,I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),4O1uCappFiU3bisYUdUBWy,69,0.21,0.722,200170,0.88,0.0,4,0.324,-3.989,0,0.24,92.024,4,0.79
388,Madison Beer,Home with You,0iwsQWgtjSq2kUXuZwTDAL,76,0.067,0.631,190576,0.599,0.0,7,0.0952,-6.137,0,0.0878,170.122,4,0.727
389,BTS,FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,78,0.00267,0.557,242334,0.719,0.0,2,0.306,-4.515,0,0.0372,77.501,4,0.344
390,Bad Bunny,Solo de Mi,5YOkA7qd2983FtBQnP8sYx,77,0.287,0.743,197968,0.73,8.1e-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15
391,Ansel Elgort,Supernova,2ZIZXWnU52s0C75sPYiwvh,74,0.0596,0.764,191493,0.618,0.0,5,0.194,-5.492,0,0.0873,140.09,4,0.655
392,Sam Smith,"Fire On Fire - From ""Watership Down""",5rFj8OzffT0iggSjcBaeND,81,0.476,0.584,246735,0.407,0.0,1,0.18,-7.356,0,0.046,115.124,4,0.341
393,A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK,74,0.176,0.721,158206,0.704,3.71e-06,6,0.143,-6.364,1,0.0606,125.004,4,0.735
394,Dexys Midnight Runners,Come On Eileen,2Hw2JEL4tjdcX8aERfIdBF,70,0.658,0.45,283000,0.674,4.29e-06,2,0.404,-6.722,1,0.0485,106.959,4,0.72
395,Fuerza Regida,Sigo Chambeando,4PR0r2us3a64lTew6TVlF2,72,0.685,0.819,200162,0.48,2.03e-06,5,0.116,-6.966,1,0.0489,114.04,3,0.759
396,Dua Lipa,Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,83,0.0658,0.678,189173,0.729,0.0,8,0.303,-4.188,1,0.137,99.895,4,0.643
397,J. Cole,ATM,2UciqgwVDwro0fev3MFbxJ,72,0.115,0.719,216727,0.497,0.0,8,0.0898,-7.661,1,0.681,81.651,4,0.345
398,Juice WRLD,Hurt Me,3XRQT7EoS4U87rUuJwg5P3,71,0.128,0.62,122285,0.451,0.0,6,0.373,-7.623,1,0.17,156.906,4,0.294
399,6ix9ine,BEBE (feat. Anuel Aa),4KkUjFkcQvGvWekl8RATDn,81,0.172,0.635,217822,0.902,0.0,0,0.125,-3.559,1,0.109,102.063,4,0.286
400,grandson,Blood // Water,7clyJIrLkEbXUDwj1tC9zz,71,0.00163,0.504,214520,0.891,0.00199,6,0.148,-5.632,0,0.137,153.988,4,0.628
401,Julia Michaels,Heaven,1T575AhHueYinKSDflEsGK,76,0.857,0.552,191787,0.371,0.0,7,0.0838,-9.104,0,0.0359,199.843,3,0.245
402,2 Chainz,Bigger Than You (feat. Drake & Quavo),5S1IUPueD0xE0vj4zU3nSf,72,0.247,0.888,225893,0.515,0.0,1,0.446,-6.246,1,0.271,141.009,4,0.264
403,Julia Michaels,Jump (with Trippie Redd),2OvV4NjEBRE9v8Oo7QeUCq,73,0.25,0.654,207857,0.547,0.0,10,0.0961,-6.598,1,0.127,173.981,4,0.507
404,Bazzi,Beautiful,5TVirkSwFEXF1nLJEebe2I,74,0.214,0.666,178242,0.677,0.0,2,0.0979,-5.743,1,0.0326,100.014,4,0.178
405,Juice WRLD,I'll Be Fine,0INehbMZOFPnaPBAjK97i3,71,0.000616,0.523,244194,0.678,0.0,8,0.142,-6.071,1,0.0692,159.909,4,0.277
406,The Chainsmokers,Hope,4BiiOzZCrXEzHRLYcYFiD5,80,0.488,0.773,180120,0.699,3.6e-06,1,0.0814,-5.982,0,0.0958,104.941,4,0.513
